x,y,vs30,mu_logIM,tau_logIM,phi_logIM,sim_logIM,BuildingClass,DamageState
-20.0,0,450,-2.231378409305505,0.3581,0.6375,-2.733838979550169,0,0
-19.91983967935872,0,450,-2.2262855661695378,0.3581,0.6375,-2.9234553136163,0,0
-19.83967935871744,0,450,-2.2211780883720884,0.3581,0.6375,-2.940833978407987,0,0
-19.75951903807616,0,450,-2.216055912756013,0.3581,0.6375,-3.001684424899444,0,0
-19.67935871743487,0,450,-2.210918976057368,0.3581,0.6375,-3.0609045238678108,0,0
-19.599198396793582,0,450,-2.2057672149129752,0.3581,0.6375,-2.902983563201854,0,0
-19.519038076152302,0,450,-2.200600565868277,0.3581,0.6375,-3.097623299922512,0,0
-19.438877755511022,0,450,-2.195418965385505,0.3581,0.6375,-2.905274580070615,0,0
-19.35871743486974,0,450,-2.190222349852153,0.3581,0.6375,-2.929924798071313,0,0
-19.27855711422845,0,450,-2.185010655589785,0.3581,0.6375,-2.9389883920762774,0,0
-19.19839679358717,0,450,-2.179783818863174,0.3581,0.6375,-3.011897653041647,0,0
-19.11823647294589,0,450,-2.17454177588978,0.3581,0.6375,-2.8199630321150773,0,0
-19.03807615230461,0,450,-2.169284462849595,0.3581,0.6375,-2.8356544873354927,0,0
-18.95791583166333,0,450,-2.164011815895344,0.3581,0.6375,-2.6297769826088366,0,0
-18.877755511022045,0,450,-2.1587237711630776,0.3581,0.6375,-2.450780394121998,0,0
-18.79759519038076,0,450,-2.153420264783142,0.3581,0.6375,-2.239908072412102,0,0
-18.71743486973948,0,450,-2.148101232891562,0.3581,0.6375,-2.2348822604337752,0,0
-18.6372745490982,0,450,-2.142766611641831,0.3581,0.6375,-2.4860211721389773,0,0
-18.55711422845692,0,450,-2.137416337217138,0.3581,0.6375,-2.6965451024791616,0,0
-18.47695390781563,0,450,-2.1320503458430333,0.3581,0.6375,-2.620591539514155,0,0
-18.39679358717435,0,450,-2.1266685738005395,0.3581,0.6375,-2.77364768915316,0,0
-18.316633266533067,0,450,-2.121270957439751,0.3581,0.6375,-2.919473628726808,0,0
-18.236472945891784,0,450,-2.115857433193902,0.3581,0.6375,-2.966330890091882,0,1
-18.1563126252505,0,450,-2.1104279375939456,0.3581,0.6375,-3.2397715234929354,0,0
-18.07615230460922,0,450,-2.1049824072836314,0.3581,0.6375,-3.1478248532373256,0,0
-17.995991983967937,0,450,-2.099520779035137,0.3581,0.6375,-2.906553736050872,0,0
-17.915831663326653,0,450,-2.094042989765225,0.3581,0.6375,-2.9241049372065437,0,0
-17.83567134268537,0,450,-2.08854897655198,0.3581,0.6375,-2.9616905054008003,0,0
-17.75551102204409,0,450,-2.083038676652116,0.3581,0.6375,-2.9126499342205907,0,0
-17.675350701402806,0,450,-2.07751202751889,0.3581,0.6375,-2.9833325966115463,0,0
-17.595190380761522,0,450,-2.071968966820637,0.3581,0.6375,-3.0111979581629966,0,0
-17.51503006012024,0,450,-2.0664094324599334,0.3581,0.6375,-2.779901548655133,0,0
-17.43486973947896,0,450,-2.060833362593425,0.3581,0.6375,-2.9129295959803385,0,0
-17.354709418837675,0,450,-2.05524069565233,0.3581,0.6375,-2.825176048477454,0,2
-17.274549098196392,0,450,-2.0496313703636404,0.3581,0.6375,-2.662744188797725,0,0
-17.194388777555112,0,450,-2.0440053257720434,0.3581,0.6375,-2.7067345345765115,0,0
-17.11422845691383,0,450,-2.038362501262587,0.3581,0.6375,-2.676972968550274,0,0
-17.034068136272545,0,450,-2.032702836584108,0.3581,0.6375,-2.273171151651016,0,0
-16.95390781563126,0,450,-2.027026271873454,0.3581,0.6375,-2.157380036449597,0,0
-16.87374749498998,0,450,-2.0213327476805083,0.3581,0.6375,-2.172397847553936,0,0
-16.793587174348698,0,450,-2.0156222049940613,0.3581,0.6375,-2.1353235674065605,0,0
-16.713426853707414,0,450,-2.009894585268548,0.3581,0.6375,-2.1674160243840683,0,0
-16.633266533066134,0,450,-2.004149830451667,0.3581,0.6375,-2.19113327052805,0,0
-16.55310621242485,0,450,-1.9983878830129185,0.3581,0.6375,-2.292853102958011,0,0
-16.472945891783567,0,450,-1.9926086859731007,0.3581,0.6375,-2.1830299522617462,0,1
-16.392785571142284,0,450,-1.9868121829347605,0.3581,0.6375,-2.102066977267365,0,1
-16.312625250501004,0,450,-1.9809983181136648,0.3581,0.6375,-2.1691989648579395,0,0
-16.23246492985972,0,450,-1.975167036371307,0.3581,0.6375,-2.2653638726022627,0,1
-16.152304609218437,0,450,-1.969318283248464,0.3581,0.6375,-2.32373467873936,0,0
-16.072144288577153,0,450,-1.9634520049998707,0.3581,0.6375,-2.3352715481473987,0,0
-15.991983967935871,0,450,-1.957568148630023,0.3581,0.6375,-2.412405435475381,0,0
-15.91182364729459,0,450,-1.9516666619301413,0.3581,0.6375,-2.524288012242633,0,0
-15.831663326653306,0,450,-1.9457474935163448,0.3581,0.6375,-2.2988456729420066,0,0
-15.751503006012024,0,450,-1.939810592869064,0.3581,0.6375,-2.319531424075215,0,0
-15.671342685370742,0,450,-1.9338559103737216,0.3581,0.6375,-2.300198718732317,0,0
-15.59118236472946,0,450,-1.9278833973627507,0.3581,0.6375,-2.4651115440132343,0,0
-15.511022044088175,0,450,-1.9218930061589423,0.3581,0.6375,-2.575400837176385,0,0
-15.430861723446894,0,450,-1.9158846901202105,0.3581,0.6375,-2.5808050795053514,0,0
-15.350701402805612,0,450,-1.9098584036857864,0.3581,0.6375,-2.6348981520438057,0,0
-15.270541082164328,0,450,-1.903814102423896,0.3581,0.6375,-2.4884231347991794,0,0
-15.190380761523048,0,450,-1.89775174308097,0.3581,0.6375,-2.4935676354383016,0,0
-15.110220440881765,0,450,-1.8916712836324217,0.3581,0.6375,-2.6742959429056845,0,0
-15.03006012024048,0,450,-1.8855726833350448,0.3581,0.6375,-2.6082421000319904,0,0
-14.949899799599198,0,450,-1.879455902781085,0.3581,0.6375,-2.447943498000545,0,0
-14.869739478957916,0,450,-1.8733209039540288,0.3581,0.6375,-2.6420904141268684,0,0
-14.789579158316634,0,450,-1.8671676502861565,0.3581,0.6375,-2.914177379407307,0,0
-14.70941883767535,0,450,-1.8609961067179284,0.3581,0.6375,-2.8662072235246296,0,0
-14.629258517034067,0,450,-1.8548062397592409,0.3581,0.6375,-2.915632627763615,0,0
-14.549098196392784,0,450,-1.848598017552617,0.3581,0.6375,-2.742414741228163,0,0
-14.468937875751504,0,450,-1.842371409938393,0.3581,0.6375,-2.6301050039519303,0,0
-14.38877755511022,0,450,-1.83612638852194,0.3581,0.6375,-2.678093688037689,0,0
-14.308617234468938,0,450,-1.8298629267430124,0.3581,0.6375,-2.738931073398146,0,0
-14.228456913827657,0,450,-1.82358099994726,0.3581,0.6375,-2.690145789586249,0,0
-14.148296593186371,0,450,-1.8172805854599643,0.3581,0.6375,-2.4352296258769845,0,1
-14.06813627254509,0,450,-1.810961662662104,0.3581,0.6375,-2.172457184395684,0,0
-13.987975951903808,0,450,-1.804624213068756,0.3581,0.6375,-1.9385403686223504,0,0
-13.907815631262526,0,450,-1.7982682204099552,0.3581,0.6375,-2.177469782052074,0,1
-13.827655310621244,0,450,-1.7918936707140518,0.3581,0.6375,-2.219765136991137,0,1
-13.74749498997996,0,450,-1.785500552393654,0.3581,0.6375,-2.3459361743556326,0,1
-13.667334669338675,0,450,-1.7790888563342169,0.3581,0.6375,-2.488468603798033,0,0
